City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,port lincoln,-34.7333,135.8667,15.02,70,100,5.99,AU,1670270909
210,komsomolets,53.7453,62.0708,-22.13,100,81,1.51,KZ,1670270909
211,ust-maya,60.4167,134.5333,-24.94,90,100,2.69,RU,1670270910
212,carutapera,-1.195,-46.02,27.69,71,100,3.91,BR,1670270910
213,fortuna,40.5982,-124.1573,12.18,84,100,3.6,US,1670270911
214,egvekinot,66.3167,-179.1667,-15.15,85,100,5.17,RU,1670270911
215,miami,25.7743,-80.1937,27.79,65,70,0.89,US,1670270240
216,torbay,47.6666,-52.7314,4.59,95,100,0.45,CA,1670270749
217,east london,-33.0153,27.9116,16.34,83,4,4.34,ZA,1670270912
218,buraydah,26.326,43.975,17.03,73,99,5.72,SA,1670270720
219,hirara,24.8,125.2833,21.64,80,100,15.22,JP,1670270913
220,siguiri,11.6667,-9.5,29.52,37,96,1.41,GN,1670270913
221,provideniya,64.3833,-173.3,1.06,75,100,13.0,RU,1670270914
222,barrow,71.2906,-156.7887,-0.99,86,100,10.29,US,1670270914
223,nusaybin,37.0778,41.2178,12.07,65,100,1.05,TR,1670270915
224,son la,21.3167,103.9,12.38,97,64,1.04,VN,1670270915
225,bukama,-9.2,25.85,19.37,95,99,1.02,CD,1670270916
226,katsuura,35.1333,140.3,10.02,90,100,8.39,JP,1670270904
227,nikolskoye,59.7035,30.7861,-5.05,94,100,2.83,RU,1670270916
228,bachatskiy,54.2927,86.1285,-17.49,98,80,1.22,RU,1670270917
229,skjervoy,70.0311,20.9714,0.0,100,100,3.55,NO,1670270917
230,payson,40.0444,-111.7321,2.47,91,100,1.54,US,1670270761
231,coquimbo,-29.9533,-71.3436,18.85,72,75,4.63,CL,1670270695
232,petatlan,17.5167,-101.2667,30.89,54,0,2.88,MX,1670270918
233,kodiak,57.79,-152.4072,3.73,93,100,4.63,US,1670270919
234,acapulco,16.8634,-99.8901,28.9,74,0,5.66,MX,1670270635
235,abalak,58.1286,68.5944,-21.7,100,99,0.99,RU,1670270920
236,soyo,-6.1349,12.3689,26.01,87,100,3.55,AO,1670270920
237,arraial do cabo,-22.9661,-42.0278,24.92,73,40,5.66,BR,1670270768
238,qaanaaq,77.484,-69.3632,-0.4,85,100,6.1,GL,1670270921
239,vallenar,-28.5708,-70.7581,28.27,35,0,4.86,CL,1670270635
240,hay river,60.8156,-115.7999,-27.79,96,100,4.74,CA,1670270922
241,beloha,-25.1667,45.05,25.67,73,1,4.13,MG,1670270923
242,mrakovo,52.7161,56.6244,-17.39,93,65,1.64,RU,1670270923
243,urubicha,-15.3833,-62.95,27.46,63,100,3.29,BO,1670270924
244,inuvik,68.3499,-133.7218,-24.8,73,100,7.17,CA,1670270924
245,dunedin,-45.8742,170.5036,9.89,90,100,3.58,NZ,1670270672
246,kaputa,-8.4689,29.6619,20.19,86,100,2.0,ZM,1670270925
247,brae,60.3964,-1.353,6.1,69,100,9.35,GB,1670270925
248,tetela de ocampo,19.8167,-97.8,22.36,45,8,3.08,MX,1670270926
249,nizwa,22.9333,57.5333,19.32,63,0,0.96,OM,1670270787
250,omboue,-1.5746,9.2618,26.0,88,100,2.04,GA,1670270927
251,fukuma,33.7667,130.4667,8.0,51,76,5.83,JP,1670270860
252,yerbogachen,61.2767,108.0108,-9.87,87,100,7.04,RU,1670270928
253,menzelinsk,55.7271,53.1026,-21.29,100,82,0.87,RU,1670270928
254,puerto escondido,15.85,-97.0667,30.46,54,0,3.09,MX,1670270929
255,dhidhdhoo,6.8833,73.1,26.28,82,100,7.39,MV,1670270929
256,pulong sampalok,14.9611,121.0609,25.88,92,80,1.85,PH,1670270930
257,galashki,43.1136,44.9894,-2.47,94,100,1.82,RU,1670270930
258,volkhov,59.9258,32.3382,-7.23,94,100,3.16,RU,1670270931
259,stokmarknes,68.5646,14.9108,2.98,93,100,3.09,NO,1670270931
260,kununurra,-15.7667,128.7333,26.99,89,56,1.03,AU,1670270932
261,bowen,-20.0167,148.2333,24.53,69,0,1.48,AU,1670270932
262,sheridan,44.8333,-106.9173,-1.49,74,0,1.54,US,1670270933
263,coari,-4.085,-63.1414,27.75,76,100,1.51,BR,1670270933
264,ahipara,-35.1667,173.1667,17.97,76,100,2.44,NZ,1670270934
265,verkhnyaya inta,65.9811,60.3094,-17.21,98,94,2.86,RU,1670270934
266,brandfort,-28.7001,26.4597,16.32,15,0,3.3,ZA,1670270935
267,thabazimbi,-24.5917,27.4116,21.23,63,2,3.2,ZA,1670270935
268,aklavik,68.2191,-135.0107,-25.46,86,100,9.91,CA,1670270860
269,mao,39.8885,4.2658,12.31,100,0,3.09,ES,1670270936
270,wilmington,34.2257,-77.9447,16.11,72,83,1.79,US,1670270740
271,ngunguru,-35.6167,174.5,16.55,76,100,0.88,NZ,1670270937
